source,route,domain,gold_count,reward_pattern,rewards,current_adv,exact_floor_adv,exact_clamp_adv,current_abs_sum,floor_abs_sum,clamp_abs_sum
GR_REC_v1_probe,think,video,20,MIXED_HIGH,"[9.1875,8.375,9.1875,8.4375]","[0.9981487115815262,-1.0780006085080482,0.9981487115815262,-0.9182968146550041]","[0.1484375,0.046875,0.1484375,0.0546875]","[0.048828125,0.0,0.048828125,0.0]",3.9925948463261047,0.3984375,0.09765625
GR_REC_v1_probe,nothink,video,20,AB_SIGNAL,"[0.0,0.0,0.0,0.5,0.5,0.5,2.0,0.5]","[-0.81636326936408,-0.81636326936408,-0.81636326936408,0.0,0.0,0.0,2.44908980809224,0.0]","[-0.0625,-0.0625,-0.0625,0.0,0.0,0.0,0.1875,0.0]","[-0.0625,-0.0625,-0.0625,0.0,0.0,0.0,0.1875,0.0]",4.89817961618448,0.375,0.375
GR_REC_v1_probe,think,living,2,A_ONLY,"[0.0,0.0,0.5,0.0]","[-0.577083725634154,-0.577083725634154,1.7312511769024619,-0.577083725634154]","[-0.015625,-0.015625,0.046875,-0.015625]","[-0.015625,-0.015625,0.046875,-0.015625]",3.462502353804924,0.09375,0.09375
GR_REC_v1_probe,nothink,living,2,OTHER,"[-0.25,-0.25,-0.25,0.0,-0.25,-0.25,-0.25,-0.25]","[-0.3775078823921866,-0.3775078823921866,-0.3775078823921866,2.642555176745306,-0.3775078823921866,-0.3775078823921866,-0.3775078823921866,-0.3775078823921866]","[-0.00390625,-0.00390625,-0.00390625,0.02734375,-0.00390625,-0.00390625,-0.00390625,-0.00390625]","[-0.00390625,-0.00390625,-0.00390625,0.02734375,-0.00390625,-0.00390625,-0.00390625,-0.00390625]",5.285110353490612,0.0546875,0.0546875
GR_REC_v1_probe,think,prod,2,MULTI_EXACT,"[0.0,8.0,8.0,8.0]","[-1.7320008090122112,0.5773336030040704,0.5773336030040704,0.5773336030040704]","[-0.75,0.25,0.25,0.25]","[-0.75,0.25,0.25,0.25]",3.464001618024423,1.5,1.5
GR_REC_v1_probe,nothink,prod,2,OTHER,"[-0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.25]","[-1.730452284221493,0.5768174280738311,0.5768174280738311,0.5768174280738311,0.5768174280738311,0.5768174280738311,0.5768174280738311,-1.730452284221493]","[-0.0234375,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,-0.0234375]","[-0.0234375,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,0.0078125,-0.0234375]",6.921809136885972,0.09375,0.09375
GR_REC_v1_probe,think,ad,2,ALL_ZERO,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,nothink,ad,2,OTHER,"[-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.0]","[-0.3775078823921866,-0.3775078823921866,-0.3775078823921866,-0.3775078823921866,-0.3775078823921866,-0.3775078823921866,-0.3775078823921866,2.642555176745306]","[-0.00390625,-0.00390625,-0.00390625,-0.00390625,-0.00390625,-0.00390625,-0.00390625,0.02734375]","[-0.00390625,-0.00390625,-0.00390625,-0.00390625,-0.00390625,-0.00390625,-0.00390625,0.02734375]",5.285110353490612,0.0546875,0.0546875
GR_REC_v1_probe,think,video,20,MIXED_HIGH,"[3.1875,12.1875,9.1875,8.375]","[-1.5569627434868676,1.2195404770965248,0.2940394035687273,0.043382862821615506]","[-0.6015625,0.5234375,0.1484375,0.046875]","[-0.630859375,0.494140625,0.119140625,0.017578125]",3.113925486973735,1.3203125,1.26171875
GR_REC_v1_probe,nothink,video,20,A_ONLY,"[0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5]","[-1.290461335641207,0.7742768013847241,0.7742768013847241,0.7742768013847241,-1.290461335641207,0.7742768013847241,-1.290461335641207,0.7742768013847241]","[-0.0390625,0.0234375,0.0234375,0.0234375,-0.0390625,0.0234375,-0.0390625,0.0234375]","[-0.0390625,0.0234375,0.0234375,0.0234375,-0.0390625,0.0234375,-0.0390625,0.0234375]",7.742768013847242,0.234375,0.234375
