model,task_id,rollout_id,step,group_id,candidate_id,domain,invalid_outputs,invalid_provenance,rollout_invalid_outputs,stage,group_position,gold_count,unique_gold_A,completion_length,raw_n,grounded_n,coverage,s_cot,s_explore,dsr_branch,primary_reward,closed,raw_invalid_text
dsr,dsr:1:0:0,1,0,0d3b5e5ef4df6c333ca9f556c22b3e9e9f43c4995baed7a833977eedfb537a84,0,living,,unavailable:not_persisted_per_task,0,0-50,0,2,1,,4,4,1.0,1.0,0.2658708359746942,,,,
dsr,dsr:1:0:1,1,0,0d3b5e5ef4df6c333ca9f556c22b3e9e9f43c4995baed7a833977eedfb537a84,1,living,,unavailable:not_persisted_per_task,0,0-50,0,2,1,,4,4,1.0,0.9791666666666667,0.25165987773835097,,,,
dsr,dsr:1:0:2,1,0,0d3b5e5ef4df6c333ca9f556c22b3e9e9f43c4995baed7a833977eedfb537a84,2,living,,unavailable:not_persisted_per_task,0,0-50,0,2,1,,,,,,,,,,
dsr,dsr:1:0:3,1,0,0d3b5e5ef4df6c333ca9f556c22b3e9e9f43c4995baed7a833977eedfb537a84,3,living,,unavailable:not_persisted_per_task,0,0-50,0,2,1,,,,,,,,,,
dsr,dsr:1:1:0,1,0,5312b41c5a6b8ac1fdbe5a0211cbfaf002533367a177c86d9595bbab0ca19090,0,prod,,unavailable:not_persisted_per_task,0,0-50,1,2,1,,,,,,,,,,
dsr,dsr:1:1:1,1,0,5312b41c5a6b8ac1fdbe5a0211cbfaf002533367a177c86d9595bbab0ca19090,1,prod,,unavailable:not_persisted_per_task,0,0-50,1,2,1,,,,,,,,,,
dsr,dsr:1:1:2,1,0,5312b41c5a6b8ac1fdbe5a0211cbfaf002533367a177c86d9595bbab0ca19090,2,prod,,unavailable:not_persisted_per_task,0,0-50,1,2,1,,,,,,,,,,
dsr,dsr:1:1:3,1,0,5312b41c5a6b8ac1fdbe5a0211cbfaf002533367a177c86d9595bbab0ca19090,3,prod,,unavailable:not_persisted_per_task,0,0-50,1,2,1,,,,,,,,,,
dsr,dsr:1:2:0,1,0,5ea4740a4656ed1e8e8f7981641afed8ced421efcf5672a4502270b8ac043631,0,ad,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:1:2:1,1,0,5ea4740a4656ed1e8e8f7981641afed8ced421efcf5672a4502270b8ac043631,1,ad,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:1:2:2,1,0,5ea4740a4656ed1e8e8f7981641afed8ced421efcf5672a4502270b8ac043631,2,ad,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:1:2:3,1,0,5ea4740a4656ed1e8e8f7981641afed8ced421efcf5672a4502270b8ac043631,3,ad,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:1:3:0,1,0,dea6a49f8f2209c89897a1dfd297db748f89f0011487d3f0039c5e74adfbb201,0,ad,,unavailable:not_persisted_per_task,0,0-50,3,2,2,,,,,,,,,,
dsr,dsr:1:3:1,1,0,dea6a49f8f2209c89897a1dfd297db748f89f0011487d3f0039c5e74adfbb201,1,ad,,unavailable:not_persisted_per_task,0,0-50,3,2,2,,,,,,,,,,
dsr,dsr:1:3:2,1,0,dea6a49f8f2209c89897a1dfd297db748f89f0011487d3f0039c5e74adfbb201,2,ad,,unavailable:not_persisted_per_task,0,0-50,3,2,2,,,,,,,,,,
dsr,dsr:1:3:3,1,0,dea6a49f8f2209c89897a1dfd297db748f89f0011487d3f0039c5e74adfbb201,3,ad,,unavailable:not_persisted_per_task,0,0-50,3,2,2,,,,,,,,,,
