scope,step,group_id,candidate_id,domain,coverage,primary_reward,s0,s1,s2,s3,a_s0,a_s1,a_s2,a_s3,rank_s0,rank_s1,rank_s2,rank_s3
training_trace,38,8002d0daf096df8e5d36f940e1df8a0c7966ee594ea20a785077fb59d21ebaa4,0,video,1.0,0.75,0.9895833333333333,0.9895833333333333,0.9895833333333333,0.9895833333333333,-1.6944836801873513,-1.6944836801873513,-1.6944836801873513,-1.6944836801873513,4,4,4,4
training_trace,38,8002d0daf096df8e5d36f940e1df8a0c7966ee594ea20a785077fb59d21ebaa4,1,video,1.0,0.875,1.0,1.0,1.0,1.0,0.5648278933957998,0.5648278933957998,0.5648278933957998,0.5648278933957998,1,1,1,1
training_trace,38,8002d0daf096df8e5d36f940e1df8a0c7966ee594ea20a785077fb59d21ebaa4,2,video,1.0,0.9375,1.0,1.0,1.0,1.0,0.5648278933957998,0.5648278933957998,0.5648278933957998,0.5648278933957998,2,2,2,2
training_trace,38,8002d0daf096df8e5d36f940e1df8a0c7966ee594ea20a785077fb59d21ebaa4,3,video,1.0,0.875,1.0,1.0,1.0,1.0,0.5648278933957998,0.5648278933957998,0.5648278933957998,0.5648278933957998,3,3,3,3
training_trace,158,1e69a31d62cece5fd7a4f6155c0dc1f441d5f7b7609287c44f893e8a2c0fa63d,0,prod,1.0,8.25,1.0,1.0,1.0,1.0,0.0,0.577083725634154,0.5768953993698743,0.0,1,1,1,1
training_trace,158,1e69a31d62cece5fd7a4f6155c0dc1f441d5f7b7609287c44f893e8a2c0fa63d,1,prod,0.5,8.25,1.0,0.5,0.7071067811865476,1.0,0.0,-1.7312511769024619,-1.730686198109622,0.0,2,4,4,2
training_trace,158,1e69a31d62cece5fd7a4f6155c0dc1f441d5f7b7609287c44f893e8a2c0fa63d,2,prod,1.0,8.25,1.0,1.0,1.0,1.0,0.0,0.577083725634154,0.5768953993698743,0.0,3,2,2,3
training_trace,158,1e69a31d62cece5fd7a4f6155c0dc1f441d5f7b7609287c44f893e8a2c0fa63d,3,prod,1.0,8.25,1.0,1.0,1.0,1.0,0.0,0.577083725634154,0.5768953993698743,0.0,4,3,3,4
fixed_probe,0,fc6e5676c19873ebadd3deed3ed25679d986fe7a7201d02aff860e58a508e82e,0,video,1.0,9.1875,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,-1.6853451526461094,-1.6853451526461094,-1.6853451526461094,-1.6853451526461094,4,4,4,4
fixed_probe,0,fc6e5676c19873ebadd3deed3ed25679d986fe7a7201d02aff860e58a508e82e,1,video,1.0,8.375,1.0,1.0,1.0,1.0,0.5617817175487031,0.5617817175487031,0.5617817175487031,0.5617817175487031,1,1,1,1
