group_id,route,domain,gold_count,unique_gold_A,step,order,gold_count_bin,unique_gold_A_bin,stage,group_position,baseline_primary_reward_mean,baseline_primary_reward_std,baseline_zero_std,baseline_all_zero,baseline_Exact,baseline_AB,baseline_A,baseline_Beam_invalid,dsr_primary_reward_mean,dsr_primary_reward_std,dsr_zero_std,dsr_all_zero,dsr_Exact,dsr_AB,dsr_A,dsr_Beam_invalid,baseline_rollout_reward_mean,baseline_rollout_reward_std,baseline_rollout_zero_std_ratio,baseline_rollout_invalid_outputs,dsr_rollout_reward_mean,dsr_rollout_reward_std,dsr_rollout_zero_std_ratio,dsr_rollout_invalid_outputs,direct_group_provenance,Raw_N,Grounded_N,Coverage,Raw_Grounded_gap,D_cot,S_cot,S_prefix,S_explore,S_dead,S_aux,A_aux,DSR_branch,think_candidate_coverage_provenance,A_concentration,Gold_A_hit,Gold_AB_hit,Exact_hit,rescue_active,lambda_A,K_A_concentration,frequency_weights,rescue_coefficient
0d3b5e5ef4df6c333ca9f556c22b3e9e9f43c4995baed7a833977eedfb537a84,think,living,2,1,0,1,1-2,1,0-50,0,,,,,,,,,,,,,,,,,1.78125,1.684436321258545,0.5,0,1.78125,1.684436321258545,0.5,0,unavailable:only_rollout_aggregate,4.0,4.0,1.0,0.0,0.9791666666666667,0.9895833333333334,0.20891222130520323,0.2587653568565226,0.2561438997967481,0.9895833333333334,-0.571022093296051,,observed_directly:dsr_trace_first2,,,,,,,,,
5312b41c5a6b8ac1fdbe5a0211cbfaf002533367a177c86d9595bbab0ca19090,think,prod,2,1,0,1,1-2,1,0-50,1,,,,,,,,,,,,,,,,,1.78125,1.684436321258545,0.5,0,1.78125,1.684436321258545,0.5,0,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
5ea4740a4656ed1e8e8f7981641afed8ced421efcf5672a4502270b8ac043631,think,ad,2,2,0,1,1-2,2,0-50,2,,,,,,,,,,,,,,,,,1.78125,1.684436321258545,0.5,0,1.78125,1.684436321258545,0.5,0,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
dea6a49f8f2209c89897a1dfd297db748f89f0011487d3f0039c5e74adfbb201,think,ad,2,2,0,1,1-2,2,0-50,3,,,,,,,,,,,,,,,,,1.78125,1.684436321258545,0.5,0,1.78125,1.684436321258545,0.5,0,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
775d2c1d73b635f501a0f4bc9da6024002fecb009894b9d6fbdb1cb3fbd0ba72,think,ad,2,2,2,2,1-2,2,0-50,0,,,,,,,,,,,,,,,,,1.6640625,1.0405949354171753,0.25,1,2.09375,0.8743988275527954,0.5,0,unavailable:only_rollout_aggregate,3.5,2.0,0.5416666666666666,1.5,0.5,0.5,0.014584077361972545,0.1666643681630009,0.1666643681630009,0.5,0.5772169828414917,,observed_directly:dsr_trace_first2,,,,,,,,,
f2a93244b0b82a2194e1cd15375c3293287c9e6553ecd5f38e7f390b0062e7a8,think,video,18,16,2,2,5+,3+,0-50,1,,,,,,,,,,,,,,,,,1.6640625,1.0405949354171753,0.25,1,2.09375,0.8743988275527954,0.5,0,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
483d40bd8e6a7be759779bba6c1a58dca78f41a0a8d8cb365e1dd0eff5566142,think,ad,2,2,2,2,1-2,2,0-50,2,,,,,,,,,,,,,,,,,1.6640625,1.0405949354171753,0.25,1,2.09375,0.8743988275527954,0.5,0,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
9886d50833d0057054a165cad6e78eaaa0438b716e4a53f2a1b84ee40a63e284,think,living,2,2,2,2,1-2,2,0-50,3,,,,,,,,,,,,,,,,,1.6640625,1.0405949354171753,0.25,1,2.09375,0.8743988275527954,0.5,0,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
0d3b5e5ef4df6c333ca9f556c22b3e9e9f43c4995baed7a833977eedfb537a84,no_think,living,2,1,4,3,1-2,1,0-50,0,,,,,,,,,,,,,,,,,-0.171875,0.06051536649465561,0.5,,-0.1875,0.0625,0.5,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.1,0.25,"[0.125,0.125,0.125,0.25,0.125,0.25,0.25,0.25]",0.0
5312b41c5a6b8ac1fdbe5a0211cbfaf002533367a177c86d9595bbab0ca19090,no_think,prod,2,1,4,3,1-2,1,0-50,1,,,,,,,,,,,,,,,,,-0.171875,0.06051536649465561,0.5,,-0.1875,0.0625,0.5,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.375,,,,False,0.1,0.375,"[0.125,0.125,0.375,0.125,0.125,0.375,0.125,0.375]",0.0
5ea4740a4656ed1e8e8f7981641afed8ced421efcf5672a4502270b8ac043631,no_think,ad,2,2,6,4,1-2,2,0-50,0,,,,,,,,,,,,,,,,,-0.0625,0.19034218788146973,0.0,,-0.140625,0.09546644985675812,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.1,0.25,"[0.125,0.125,0.25,0.25,0.125,0.25,0.125,0.25]",0.0
dea6a49f8f2209c89897a1dfd297db748f89f0011487d3f0039c5e74adfbb201,no_think,ad,2,2,6,4,1-2,2,0-50,1,,,,,,,,,,,,,,,,,-0.0625,0.19034218788146973,0.0,,-0.140625,0.09546644985675812,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.1,0.25,"[0.125,0.25,0.125,0.125,0.25,0.125,0.125,0.125]",0.0
775d2c1d73b635f501a0f4bc9da6024002fecb009894b9d6fbdb1cb3fbd0ba72,no_think,ad,2,2,8,5,1-2,2,0-50,0,,,,,,,,,,,,,,,,,0.0,0.21650634706020355,0.0,,0.0,0.1751573234796524,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.1,0.25,"[0.125,0.125,0.125,0.125,0.25,0.25,0.125,0.125]",0.0
f2a93244b0b82a2194e1cd15375c3293287c9e6553ecd5f38e7f390b0062e7a8,no_think,video,18,16,8,5,5+,3+,0-50,1,,,,,,,,,,,,,,,,,0.0,0.21650634706020355,0.0,,0.0,0.1751573234796524,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.125,,,,False,0.2,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0
483d40bd8e6a7be759779bba6c1a58dca78f41a0a8d8cb365e1dd0eff5566142,no_think,ad,2,2,10,6,1-2,2,0-50,0,,,,,,,,,,,,,,,,,-0.0625,0.15809345245361328,0.0,,-0.03125,0.14517971873283386,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.125,,,,False,0.1,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0
9886d50833d0057054a165cad6e78eaaa0438b716e4a53f2a1b84ee40a63e284,no_think,living,2,2,10,6,1-2,2,0-50,1,,,,,,,,,,,,,,,,,-0.0625,0.15809345245361328,0.0,,-0.03125,0.14517971873283386,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.375,,,,False,0.1,0.375,"[0.125,0.125,0.375,0.125,0.125,0.375,0.375,0.125]",0.0
f1bd212b32ec1e0144a7f62712c6f16c08df99284c0dee310314e0d548bd432c,think,prod,3,2,12,7,3-4,2,0-50,0,,,,,,,,,,,,,,,,,3.923828125,1.119408369064331,0.25,0,3.51171875,0.4191455841064453,0.25,1,unavailable:only_rollout_aggregate,2.0,2.0,1.0,0.0,0.4861111111111111,0.4930555555555556,0.05235105267861087,0.07743974703476993,0.0,0.4930555555555556,-0.5879044830799103,,observed_directly:dsr_trace_first2,,,,,,,,,
b8eb62be9fc57a8c9a163c248120894d01491270f47ada7c41e25af7f9374d7c,think,video,15,11,12,7,5+,3+,0-50,1,,,,,,,,,,,,,,,,,3.923828125,1.119408369064331,0.25,0,3.51171875,0.4191455841064453,0.25,1,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
2f8b9238c59badc96cd439911c7c42afd62e8cefa539853df2d36a549228d2b3,think,living,2,2,12,7,1-2,2,0-50,2,,,,,,,,,,,,,,,,,3.923828125,1.119408369064331,0.25,0,3.51171875,0.4191455841064453,0.25,1,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
2dc02a7c59eb8279b7caa10022e6a9ee7c30c8d851b632515315806e1655bd75,think,prod,2,1,12,7,1-2,1,0-50,3,,,,,,,,,,,,,,,,,3.923828125,1.119408369064331,0.25,0,3.51171875,0.4191455841064453,0.25,1,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
7b91df630c0a3b6d7232ae4564551cf7bc9db819af9738de06dcde9656fd2e2f,think,ad,2,2,14,8,1-2,2,0-50,0,,,,,,,,,,,,,,,,,0.328125,0.0895632952451706,0.5,0,1.28125,0.9916265606880188,0.5,0,unavailable:only_rollout_aggregate,1.5,1.0,0.6666666666666666,0.5,0.5,0.5,0.04588536297245152,0.3609086709946042,0.18162352818964217,0.22753121778347093,-0.5597011148929596,,observed_directly:dsr_trace_first2,,,,,,,,,
d93a68d31aa1ea6d12bc82e135e44340e9a1aaefd4cee134444746ecc9aee9ad,think,prod,2,1,14,8,1-2,1,0-50,1,,,,,,,,,,,,,,,,,0.328125,0.0895632952451706,0.5,0,1.28125,0.9916265606880188,0.5,0,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
3baf4e2bd66a078acfd02069635a7b0d09b8563a43d6f45285a80a90fd89f65d,think,prod,2,2,14,8,1-2,2,0-50,2,,,,,,,,,,,,,,,,,0.328125,0.0895632952451706,0.5,0,1.28125,0.9916265606880188,0.5,0,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
