group_id,step,domain,gold_count,unique_gold_A,baseline_A_concentration,dsr_A_concentration,baseline_Gold_A_hit,dsr_Gold_A_hit,rescue_active,classification,stage,gold_count_bin,unique_gold_A_bin,baseline_zero_std,baseline_all_zero,baseline_Gold_AB_hit,baseline_Exact_hit,baseline_reward_mean,dsr_zero_std,dsr_all_zero,dsr_Gold_AB_hit,dsr_Exact_hit,dsr_reward_mean,lambda_A,K_A_concentration,frequency_weights,coefficient,matched_direct_provenance,baseline_rollout_reward_mean,dsr_rollout_reward_mean
0d3b5e5ef4df6c333ca9f556c22b3e9e9f43c4995baed7a833977eedfb537a84,4,living,2,1,,0.25,,,False,,0-50,1-2,1,,,,,,,,,,,0.1,0.25,"[0.125,0.125,0.125,0.25,0.125,0.25,0.25,0.25]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.171875,-0.1875
5312b41c5a6b8ac1fdbe5a0211cbfaf002533367a177c86d9595bbab0ca19090,4,prod,2,1,,0.375,,,False,,0-50,1-2,1,,,,,,,,,,,0.1,0.375,"[0.125,0.125,0.375,0.125,0.125,0.375,0.125,0.375]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.171875,-0.1875
5ea4740a4656ed1e8e8f7981641afed8ced421efcf5672a4502270b8ac043631,6,ad,2,2,,0.25,,,False,,0-50,1-2,2,,,,,,,,,,,0.1,0.25,"[0.125,0.125,0.25,0.25,0.125,0.25,0.125,0.25]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.0625,-0.140625
dea6a49f8f2209c89897a1dfd297db748f89f0011487d3f0039c5e74adfbb201,6,ad,2,2,,0.25,,,False,,0-50,1-2,2,,,,,,,,,,,0.1,0.25,"[0.125,0.25,0.125,0.125,0.25,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.0625,-0.140625
775d2c1d73b635f501a0f4bc9da6024002fecb009894b9d6fbdb1cb3fbd0ba72,8,ad,2,2,,0.25,,,False,,0-50,1-2,2,,,,,,,,,,,0.1,0.25,"[0.125,0.125,0.125,0.125,0.25,0.25,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.0,0.0
f2a93244b0b82a2194e1cd15375c3293287c9e6553ecd5f38e7f390b0062e7a8,8,video,18,16,,0.125,,,False,,0-50,5+,3+,,,,,,,,,,,0.2,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.0,0.0
483d40bd8e6a7be759779bba6c1a58dca78f41a0a8d8cb365e1dd0eff5566142,10,ad,2,2,,0.125,,,False,,0-50,1-2,2,,,,,,,,,,,0.1,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.0625,-0.03125
9886d50833d0057054a165cad6e78eaaa0438b716e4a53f2a1b84ee40a63e284,10,living,2,2,,0.375,,,False,,0-50,1-2,2,,,,,,,,,,,0.1,0.375,"[0.125,0.125,0.375,0.125,0.125,0.375,0.375,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.0625,-0.03125
f1bd212b32ec1e0144a7f62712c6f16c08df99284c0dee310314e0d548bd432c,16,prod,3,2,,0.5,,,False,,0-50,3-4,2,,,,,,,,,,,0.1,0.5,"[0.5,0.5,0.125,0.5,0.5,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,1.359375,-0.125
b8eb62be9fc57a8c9a163c248120894d01491270f47ada7c41e25af7f9374d7c,16,video,15,11,,0.25,,,False,,0-50,5+,3+,,,,,,,,,,,0.2,0.25,"[0.25,0.125,0.125,0.125,0.125,0.25,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,1.359375,-0.125
